gml_id,kachel,kachelbezeichnung_dop20_ab_2015,kachelbezeichnung_dop20_bis_2014,geometry
APP_LGV_KACHEL_DOP20_1KM_UTM_72,5338,dop20rgb_32553_5938_1_hh_JAHR ,dop20c_32553_5938   ,"POLYGON ((9.80067451730109 53.58816215749647, 9.800844453125066 53.59714981054835, 9.815953057363005 53.59704774024014, 9.815779916415439 53.58806012049585, 9.80067451730109 53.58816215749647))"
APP_LGV_KACHEL_DOP20_1KM_UTM_73,5423,dop20rgb_32554_5923_1_hh_JAHR ,dop20c_32554_5923   ,"POLYGON ((9.813193981552971 53.45324414725345, 9.813365727443587 53.4622319766692, 9.828426343362837 53.46212850643153, 9.828251418232474 53.45314071073155, 9.813193981552971 53.45324414725345))"
APP_LGV_KACHEL_DOP20_1KM_UTM_74,5424,dop20rgb_32554_5924_1_hh_JAHR ,dop20c_32554_5924   ,"POLYGON ((9.813365727443587 53.4622319766692, 9.81353756586663 53.47121979209953, 9.82860136273796 53.4711162881319, 9.828426343362837 53.46212850643153, 9.813365727443587 53.4622319766692))"
APP_LGV_KACHEL_DOP20_1KM_UTM_75,5425,dop20rgb_32554_5925_1_hh_JAHR ,dop20c_32554_5925   ,"POLYGON ((9.81353756586663 53.47121979209953, 9.813709496889141 53.48020759354544, 9.828776476426132 53.48010405583365, 9.82860136273796 53.4711162881319, 9.81353756586663 53.47121979209953))"
APP_LGV_KACHEL_DOP20_1KM_UTM_76,5426,dop20rgb_32554_5926_1_hh_JAHR ,dop20c_32554_5926   ,"POLYGON ((9.813709496889141 53.48020759354544, 9.813881520578244 53.48919538100809, 9.828951684495717 53.48909180953785, 9.828776476426132 53.48010405583365, 9.813709496889141 53.48020759354544))"
APP_LGV_KACHEL_DOP20_1KM_UTM_77,5427,dop20rgb_32554_5927_1_hh_JAHR ,dop20c_32554_5927   ,"POLYGON ((9.813881520578244 53.48919538100809, 9.814053637001118 53.49818315448839, 9.829126987015135 53.49807954924555, 9.828951684495717 53.48909180953785, 9.813881520578244 53.48919538100809))"
APP_LGV_KACHEL_DOP20_1KM_UTM_78,5428,dop20rgb_32554_5928_1_hh_JAHR ,dop20c_32554_5928   ,"POLYGON ((9.814053637001118 53.49818315448839, 9.814225846225018 53.50717091398747, 9.829302384052884 53.50706727495776, 9.829126987015135 53.49807954924555, 9.814053637001118 53.49818315448839))"
APP_LGV_KACHEL_DOP20_1KM_UTM_79,5429,dop20rgb_32554_5929_1_hh_JAHR ,dop20c_32554_5929   ,"POLYGON ((9.814225846225018 53.50717091398747, 9.81439814831726 53.51615865950632, 9.829477875677528 53.51605498667552, 9.829302384052884 53.50706727495776, 9.814225846225018 53.50717091398747))"
APP_LGV_KACHEL_DOP20_1KM_UTM_80,5430,dop20rgb_32554_5930_1_hh_JAHR ,dop20c_32554_5930   ,"POLYGON ((9.81439814831726 53.51615865950632, 9.814570543345225 53.52514639104607, 9.829653461957692 53.52504268439986, 9.829477875677528 53.51605498667552, 9.81439814831726 53.51615865950632))"
APP_LGV_KACHEL_DOP20_1KM_UTM_81,5431,dop20rgb_32554_5931_1_hh_JAHR ,dop20c_32554_5931   ,"POLYGON ((9.814570543345225 53.52514639104607, 9.814743031376361 53.53413410860765, 9.829829142962076 53.53403036813177, 9.829653461957692 53.52504268439986, 9.814570543345225 53.52514639104607))"
APP_LGV_KACHEL_DOP20_1KM_UTM_82,5432,dop20rgb_32554_5932_1_hh_JAHR ,dop20c_32554_5932   ,"POLYGON ((9.814743031376361 53.53413410860765, 9.814915612478186 53.54312181219218, 9.830004918759442 53.54301803787242, 9.829829142962076 53.53403036813177, 9.814743031376361 53.53413410860765))"
APP_LGV_KACHEL_DOP20_1KM_UTM_83,5433,dop20rgb_32554_5933_1_hh_JAHR ,dop20c_32554_5933   ,"POLYGON ((9.814915612478186 53.54312181219218, 9.815088286718286 53.55210950180073, 9.830180789418625 53.55200569362273, 9.830004918759442 53.54301803787242, 9.814915612478186 53.54312181219218))"
APP_LGV_KACHEL_DOP20_1KM_UTM_84,5434,dop20rgb_32554_5934_1_hh_JAHR ,dop20c_32554_5934   ,"POLYGON ((9.815088286718286 53.55210950180073, 9.815261054164313 53.5610971774343, 9.830356755008532 53.56099333538374, 9.830180789418625 53.55200569362273, 9.815088286718286 53.55210950180073))"
APP_LGV_KACHEL_DOP20_1KM_UTM_85,5435,dop20rgb_32554_5935_1_hh_JAHR ,dop20c_32554_5935   ,"POLYGON ((9.815261054164313 53.5610971774343, 9.815433914883979 53.57008483909402, 9.830532815598126 53.56998096315658, 9.830356755008532 53.56099333538374, 9.815261054164313 53.5610971774343))"
